Topic,Count,Name,Representation,Representative_Docs,Topic_Label
98,35,98_candy_taffy_slice_worst,"['candy', 'taffy', 'slice', 'worst', 'albumin', 'turkish', 'student', 'glyceride', 'flavor', 'rock']","['black jack absolute favorite candy kid still would still available original candy brown consistency high quality taffy sell taste cheap imitation', 'worst tasting candy ever threw also terrible consistency taffy', 'original bonomo turkish taffy back day nothing original soft mushy made artificial flavor mono glyceride egg albumin looking original turkish taffy sorry dreck would better wax wrapped taffy small candy company find store']",Candy Quality Concerns
99,35,99_decaf_coffee_regular_hazelnut,"['decaf', 'coffee', 'regular', 'hazelnut', 'gloria', 'decaffeinated', 'jean', 'grind', 'dismayed', 'clicked']","['ordered decaf hazelnut cup gloria jean clicked came mail non decaf regular cannot drink regular coffee dismayed see returnable wonderful policy refunded anyway would stuck coffee could use order online purchase back paul newman decaf cup arrive ordered', 'ordered decaf hazelnut cup gloria jean clicked came mail non decaf regular cannot drink regular coffee dismayed see returnable wonderful policy refunded anyway would stuck coffee could use order online purchase back paul newman decaf cup arrive ordered', 'ordered decaf hazelnut cup gloria jean clicked came mail non decaf regular cannot drink regular coffee dismayed see returnable wonderful policy refunded anyway would stuck coffee could use order online purchase back paul newman decaf cup arrive ordered']",Decaf Coffee Issues
100,34,100_organic_kosher_certified_certification,"['organic', 'kosher', 'certified', 'certification', 'silk', 'dill', 'goji', 'authority', 'weed', 'grown']","['received order today came shown picture made organic soybean yes read review shame stuff buy walmart want want soymilk organic ordered vanilla say certified organic detail organic either shame silk', 'convinced organic therefore buy packaging leaf wondering organic healthyway organic goji berry really independent verification authority confirm really organic far tell certified organic authority supplier distributor nutrition fact label strange entry quantity heat thick protein understand sound direct translation chinese english china goji berry seen concern time much bad publicity related food product coming china may organic name fact', 'convinced organic therefore buy packaging leaf wondering organic healthyway organic goji berry really independent verification authority confirm really organic far tell certified organic authority supplier distributor nutrition fact label strange entry quantity heat thick protein understand sound direct translation chinese english china goji berry seen concern time much bad publicity related food product coming china may organic name fact']",Organic Certification
101,34,101_coffee_stale_bag_bean,"['coffee', 'stale', 'bag', 'bean', 'aroma', 'clock', 'expired', 'expires', 'brewed', 'ground']","['title say quite possibly worst coffee ever coffee quality roasting probably many month old coffee stale expired expiration date package one reason buying anything else coffee bean direct even though decent product sure sat warehouse month received well made coffee bitter swill ever tasted caused stomach produce excess acid gas flavor awful taste old robusta throwing imagine people reviewed coffee could give five star even received fresh batch coffee freshness paramount importance customer service however superb always continue business buy coffee trust regret', 'probably worst coffee ever arrived stale odorless bag lifeless bean absolutely coffee smell opened bag always grind coffee fresh spot aroma ground bean bad sign brewed equally lifeless worse ground folgers returned first cup bad ordering large bag luck organic coffee seemed deal bland bland dead stuff maybe reviewer received fresh see anyone enjoys coffee could stuff condition received', 'coffee food spoil consumed fresh case coffee buying coffee roasted month earlier oil roasted degree oil plentiful simply went rancid long time ago smell really notice coffee consumed week roasted bag opened date coffee expires day roasted got cheated every time try stale blend hoping discovered somehow magically stopped staling process ala fool errand live usa lucky think best coffee world available today plenty roaster ship coffee day roast klatch coffee terroir coffee red bird coffee counter culture coffee ton others please give fresh try instead old stale composting material']",Stale Coffee
102,34,102_mocha_cafe_escape_coffee,"['mocha', 'cafe', 'escape', 'coffee', 'java', 'given', 'sucralose', 'chocolate', 'white', 'cup']","['mocha taste coffee ever would buy want strong coffee', 'stock shelf iced cafe mocha unknown reason pack august expiry taste chalkly chocolate texture thicker trying return recent purchase frustrating really miss original iced cafe mocha perfectly sweetened taste real mocha satifying smell mocha starbucks yummmmm going whole food check older one expiring june', 'stock shelf iced cafe mocha unknown reason pack august expiry taste chalkly chocolate texture thicker trying return recent purchase frustrating really miss original iced cafe mocha perfectly sweetened taste real mocha satifying smell mocha starbucks yummmmm going whole food check older one expiring june']",Mocha Coffee Blend
103,33,103_biscuit_baby_mouth_piece,"['biscuit', 'baby', 'mouth', 'piece', 'choked', 'gerber', 'teeth', 'broke', 'swallowed', 'toddler']","['frst time bought biscuit baby biscuit hard broke smaller piece inside mouth didnt melt gerber food baby face turned red almost choked luckily swallowed guess scared wont', 'pretty avid whole food shopper felt pretty purchasing organic baby food month old son earth best brand popular bought teething biscuit recently today could died eating one although anesthesiologist half job protect people airway one medical professional realize biscuit dangerous baby get front teeth upper lower incisor first long molar arrive limited biting front teeth mashing gum molar someday erupt biscuit great first minute baby happily chomping away hard surface soften pretty soon baby bite clean biscuit front teeth size chunk depending far inserted mouth time chunk remains mouth way hard mash gum baby nothing try spit difficult age swallow whole lucky enough small piece completely occlude airway able quickly fish one large chunk finger poor soon started gagging tearing wretched something resolved still know swallowed large piece ended ground scooped tried knock loose back blow case although kid may love would take would one infant death choking prompt recall something risk kid', 'pretty avid whole food shopper felt pretty purchasing organic baby food month old son earth best brand popular bought teething biscuit recently today could died eating one although anesthesiologist half job protect people airway one medical professional realize biscuit dangerous baby get front teeth upper lower incisor first long molar arrive limited biting front teeth mashing gum molar someday erupt biscuit great first minute baby happily chomping away hard surface soften pretty soon baby bite clean biscuit front teeth size chunk depending far inserted mouth time chunk remains mouth way hard mash gum baby nothing try spit difficult age swallow whole lucky enough small piece completely occlude airway able quickly fish one large chunk finger poor soon started gagging tearing wretched something resolved still know swallowed large piece ended ground scooped tried knock loose back blow case although kid may love would take would one infant death choking prompt recall something risk kid']",Toddler Choking Hazards
104,32,104_tube_cup_box_messed,"['tube', 'cup', 'box', 'messed', 'coffee', 'print', 'return', 'image', 'emptying', 'packing']","['indeed get assorted coffee might limited edition print packaging atrocious box plain cardboard box looked dumped coffee damaged box bin counted cup first box found handy least selection seemed extensive tube print stiff get print since last one shipment sincerely hope shipping accident vendor chose send something rather cancel order one ordered gift went proper box', 'starbucks made exceptional almost ruined bad packaging instant coffee new world flavor instant better coffee hotel example tube package disaster hard open open across entire width tube powder difficult get tube indeed tube shape worst imaginable easy emptying starbucks trouble packaging', 'starbucks made exceptional almost ruined bad packaging instant coffee new world flavor instant better coffee hotel example tube package disaster hard open open across entire width tube powder difficult get tube indeed tube shape worst imaginable easy emptying starbucks trouble packaging']",Coffee Packaging Issues
105,31,105_vanilla_alcohol_pure_powder,"['vanilla', 'alcohol', 'pure', 'powder', 'mexican', 'extract', 'mexico', 'vanillin', 'slimfast', 'revolutionary']","['regular vanilla special mexican vanilla flavor looking also bitter taste', 'stuff called cook organic pure vanilla powder definitely nothing sort first anyone weary pure vanilla powder dark brown blackish color first give away cook pure vanilla powder white powder anyone take moment read ingredient list surprised find ingredient pure vanilla powder fact sucrose right folk sugar corn sugar cook call revolutionary vanilla first real alternative pure vanilla extract truth nothing revolutionary horrible alternative perfectly fine pure vanilla extract white powder appears looking jar one wonder much vanilla powder actually even much maybe bleached anyone willing shell lb corn sugar splash vanilla pleased one actually care health well would wise stay clear purchase real vanilla powder vanilla extract instead make vanilla extract without alcohol trying avoid learn importance reading label always read label product intend purchasing lesson learned stuff junk another', 'past used pure vanilla extract vanilla bean expensive however vanilla taste great ordered read mccormick pure vanilla mean vanilla extracted full grown unripe fruit vanilla plant thought getting bargain ounce vanilla arrived used make protein shake shocked one sip knew throw away shake tasted disgusting spoiled first thing noticed using teaspoon called vanilla shake smelled funny first thought milk yogurt smelled vanilla bottle disgusting read ingredient noticed alcohol kidding alcohol drowns vanilla taste really use vanilla might cooking alcohol evaporates heat completely baffled positive review people know taste terrible flavor using alcohol definitely recommend unless desperate alcoholic vanilla extract used past alcohol horrible alcohol might well labeled alcohol drop vanilla flavor dare taste vanilla bought numerous item last year time satisfied purchase however mccormick pure vanilla worst purchase ever made fortunately norm buying wish returnable item']",Vanilla Extract Products
106,31,106_protein_hemp_shake_powder,"['protein', 'hemp', 'shake', 'powder', 'nutiva', 'seed', 'fyi', 'egg', 'bash', 'haha']","['tried many different protein powder year hard write review based taste alone since everyone taste different going ahead say rancid tasting gunk ever displeasure putting mouth mix protein shake hand blender rarely mixing problem even protein mixed well fun really began tasted taste sour acrid time absolutely horrendous could finish shake mixed wash mouth apple juice get sick taste could actually eat drink anything else terrible protein powder standpoint taste opinion type tried many taken seat new worst one fyi ordered another brand testing egg protein powder due casein sensitivity anyone egg protein powder recommendation', 'tried many different protein powder year hard write review based taste alone since everyone taste different going ahead say rancid tasting gunk ever displeasure putting mouth mix protein shake hand blender rarely mixing problem even protein mixed well fun really began tasted taste sour acrid time absolutely horrendous could finish shake mixed wash mouth apple juice get sick taste could actually eat drink anything else terrible protein powder standpoint taste opinion type tried many taken seat new worst one fyi ordered another brand testing egg protein powder due casein sensitivity anyone egg protein powder recommendation', 'tried many different protein powder year hard write review based taste alone since everyone taste different going ahead say rancid tasting gunk ever displeasure putting mouth mix protein shake hand blender rarely mixing problem even protein mixed well fun really began tasted taste sour acrid time absolutely horrendous could finish shake mixed wash mouth apple juice get sick taste could actually eat drink anything else terrible protein powder standpoint taste opinion type tried many taken seat new worst one fyi ordered another brand testing egg protein powder due casein sensitivity anyone egg protein powder recommendation']",Hemp Protein Shake
107,31,107_pretzel_burnt_protein_bag,"['pretzel', 'burnt', 'protein', 'bag', 'case', 'spelt', 'jacked', 'upon', 'featured', 'stumbled']","['purchased high protein pretzel newman organic pretzel tasted great salt bottom bag salt pretzel overwhelming flavor burnt burnt either use pretzel imagine anyone enjoying taste upsetting see others also ended high protein pretzel awful burnt flavor yet still kept sending think maybe look batch number something prevent shipped dissatisfied customer give bad review generally newman pretzel really buy risk', 'purchased high protein pretzel newman organic pretzel tasted great salt bottom bag salt pretzel overwhelming flavor burnt burnt either use pretzel imagine anyone enjoying taste upsetting see others also ended high protein pretzel awful burnt flavor yet still kept sending think maybe look batch number something prevent shipped dissatisfied customer give bad review generally newman pretzel really buy risk', 'purchased high protein pretzel newman organic pretzel tasted great salt bottom bag salt pretzel overwhelming flavor burnt burnt either use pretzel imagine anyone enjoying taste upsetting see others also ended high protein pretzel awful burnt flavor yet still kept sending think maybe look batch number something prevent shipped dissatisfied customer give bad review generally newman pretzel really buy risk']",Burnt Pretzel Snacks
108,31,108_hot_keurig_cocoa_chocolate,"['hot', 'keurig', 'cocoa', 'chocolate', 'grove', 'square', 'brewer', 'machine', 'setting', 'cup']","['bought keurig brewer eagerly looked beverage option wife coffee drinker still looking grove square hot cocoa nasty aftertaste almost metallic amount cleaning tinkering brewer made improvement used brewer make hot water nestle hot cocoa pack far superior beverage grove square quickly found way trash find quality mix use keurig heat water', 'got keurig fell love bought bunch different sample pack two box grove square hot cocoa bit hot cocoa nut partially caffeine partially brings back wonderful memory playing snow fun warming afterwards really wanted love hot cocoa tried three flavor multiple time different way tried different cup size adding thing etc strange taste sit well tongue sure faint ring sour milk really lingers found anything take taste away going give second box friend seem notice daughter husband said tasted weird also took friend house tried three different keurig machine make sure mine need descaled guess suggestion try multiple box', 'got keurig fell love bought bunch different sample pack two box grove square hot cocoa bit hot cocoa nut partially caffeine partially brings back wonderful memory playing snow fun warming afterwards really wanted love hot cocoa tried three flavor multiple time different way tried different cup size adding thing etc strange taste sit well tongue sure faint ring sour milk really lingers found anything take taste away going give second box friend seem notice daughter husband said tasted weird also took friend house tried three different keurig machine make sure mine need descaled guess suggestion try multiple box']",Hot Cocoa Brewer
109,31,109_bpa_tomato_bisphenol_muir,"['bpa', 'tomato', 'bisphenol', 'muir', 'glen', 'lid', 'chef', 'lined', 'leach', 'simple']","['muir glen can lined plastic leach bisphenol bad great standard household initial conversation contradicted fact misleading general mill owns cascadian farm well buy either use bionature jar pomi product tetra pak carton canned tomato product use bpa many lid jar used food containment also make scratch made simple chef andrew carmellini everyday italian lydia bastianich another favorite chef deserves mention simple yet big flavor boil peel freeze store manufacturing company corresponded said working solution later year next year', 'love muir glen tomato product sadly give due liner containing bisphenol bpa feed anymore bpa kid make sick fed bpa laden baby bottle knew better already enough cancer family know anyone surprised bpa act synthetic estrogen therefore endocrine disrupter bpa originally developed synthetic estrogen drug woman shortly developed new synthetic estrogen drug came de bpa fell wayside someone figured could used plastic liner help make harder wrote muir glen owned general mill see plan remove bpa can respond would happy pay bit jarred tomato product come bpa free can tomato carton frozen please write company buy canned tomato ask bpa free product let know anyone find bpa free tomato product tomato paste diced tomato whole tomato responding comment get email young child feed anymore bpa', 'love muir glen tomato product sadly give due liner containing bisphenol bpa feed anymore bpa kid make sick fed bpa laden baby bottle knew better already enough cancer family know anyone surprised bpa act synthetic estrogen therefore endocrine disrupter bpa originally developed synthetic estrogen drug woman shortly developed new synthetic estrogen drug came de bpa fell wayside someone figured could used plastic liner help make harder wrote muir glen owned general mill see plan remove bpa can respond would happy pay bit jarred tomato product come bpa free can tomato carton frozen please write company buy canned tomato ask bpa free product let know anyone find bpa free tomato product tomato paste diced tomato whole tomato responding comment get email young child feed anymore bpa']",BPA-Free Tomato Lids
110,31,110_spray_hose_mosquito_wipe,"['spray', 'hose', 'mosquito', 'wipe', 'yard', 'squirrel', 'feeder', 'repellent', 'bug', 'bottle']","['purchased bug spray cover say cover many type insect husband tried spray outside house fly ant problem requires use hose felt kinda lucky one use everyone hose somewhere handy house say anywhere bottle requires usage hose anyway connected bottle hose water pumping cap part got disconnected water pressure water hose came shot husband head toe alright reconnected thing took forever spray side house husband cursing water splashing bottle falling trying keeping hose connected cap hassle write something warn customer considering purchasing', 'bought wipe month ago used every day week tossing trash live wooded environment area water stand awhile rain mosquito everywhere break winter season tried everything two thing work full coverage clothing dark green spray bottle deep wood repellent particular wipe used one wipe per person going outdoors mosquito began attacking immediately returned indoors use wipe case one wipe per person enough mosquito still attacked returned indoors shower apply anti itch bug cream continued every day rest week using wipe thing kept happening matter many wipe used youngest allergic mosquito bite big deal repellent hospital mosquito bite found allergic put antibiotic prevent skin becoming necrotic pediatrician said lot debate whether put deet containing product young child suggests carefully properly done tossed wipe purchased deep wood repellent spray dark green bottle orange pump top worked excellent youngest bitten think idea wipe nice reason going stick bottle spray wipe may work others work', 'cutter backyard bug control spray concentrate longer effective used able spray yard mosquito would disappear day something happened last year first applicator terrible noticed solution even come time water notice spraying entire yard level bug spray still bottle tried different bottle thing happened time manually open hole stick get solution come even hole slightly open solution flowing flat work yard still infested mosquito spraying purchase stuck spray work receipt return']",Mosquito Repellent Spray
111,30,111_mold_wispy_white_smelled,"['mold', 'wispy', 'white', 'smelled', 'thrown', 'bag', 'rip', 'later', 'opened', 'whole']","['rip opened bag day later wispy white mold whole bag thrown even smelled little better buying store', 'rip opened bag day later wispy white mold whole bag thrown even smelled little better buying store', 'rip opened bag day later wispy white mold whole bag thrown even smelled little better buying store']",Moldy Food Discovery
112,30,112_cinnamon_roll_confirmed_box,"['cinnamon', 'roll', 'confirmed', 'box', 'checking', 'clove', 'mom', 'smell', 'aftertaste', 'packet']","['mom gave box year ago recently gotten around trying excellent bought another box second opened first packet could smell changed recipe checking back two box confirmed cinnamon taste drink although aftertaste hint clove pretty expensive something taste mixed child', 'mom gave box year ago recently gotten around trying excellent bought another box second opened first packet could smell changed recipe checking back two box confirmed cinnamon taste drink although aftertaste hint clove pretty expensive something taste mixed child', 'mom gave box year ago recently gotten around trying excellent bought another box second opened first packet could smell changed recipe checking back two box confirmed cinnamon taste drink although aftertaste hint clove pretty expensive something taste mixed child']",Cinnamon Roll Aftertaste
113,30,113_cup_ground_seal_control,"['cup', 'ground', 'seal', 'control', 'box', 'packaging', 'coffee', 'lid', 'leaking', 'positioned']","['left packaging feedback upon review issue appears quality control ordered box count box foil lid positioned correctly seal causing coffee ground coat every cup frustration free box box shipped worse cup longer full amount coffee additionally sure loose ground impact keurig hope folk coffee people rectify situation favorite coffee order without resolve side', 'left packaging feedback upon review issue appears quality control ordered box count box foil lid positioned correctly seal causing coffee ground coat every cup frustration free box box shipped worse cup longer full amount coffee additionally sure loose ground impact keurig hope folk coffee people rectify situation favorite coffee order without resolve side', 'left packaging feedback upon review issue appears quality control ordered box count box foil lid positioned correctly seal causing coffee ground coat every cup frustration free box box shipped worse cup longer full amount coffee additionally sure loose ground impact keurig hope folk coffee people rectify situation favorite coffee order without resolve side']",Coffee Packaging Leak
114,30,114_chew_small_advertisement_shrink,"['chew', 'small', 'advertisement', 'shrink', 'pack', 'large', 'attention', 'photo', 'dog', 'wow']","['wow buying dog treat year one take cake pay attention photo advertisement get two small chew three shrink wrapped cardboard package total six small chew including shipping return order quick enough', 'wow buying dog treat year one take cake pay attention photo advertisement get two small chew three shrink wrapped cardboard package total six small chew including shipping return order quick enough', 'wow buying dog treat year one take cake pay attention photo advertisement get two small chew three shrink wrapped cardboard package total six small chew including shipping return order quick enough']",Dog Chew Advertisement
115,30,115_decaf_tea_forward_caffeine,"['decaf', 'tea', 'forward', 'caffeine', 'earl', 'resealable', 'grey', 'decaffeinated', 'alergic', 'caffeinated']","['looking forward wife earl grey tea decaf let drink night drink variety tea individual tea quickly looking forward resealable packet unfortunately tea taste initially particularly unpleasant aftertaste definitely would recommend buying tea', 'looking forward wife earl grey tea decaf let drink night drink variety tea individual tea quickly looking forward resealable packet unfortunately tea taste initially particularly unpleasant aftertaste definitely would recommend buying tea', 'looking forward wife earl grey tea decaf let drink night drink variety tea individual tea quickly looking forward resealable packet unfortunately tea taste initially particularly unpleasant aftertaste definitely would recommend buying tea']",Decaf Tea Options
116,29,116_potato_fried_dusting_chip,"['potato', 'fried', 'dusting', 'chip', 'pingos', 'bag', 'argument', 'sweet', 'mashed', 'trial']","['purchased item thinking label sweet potato large letter front bag actually sweet potato chip find eating finding taste terrible tortilla chip dusting sweet potato dust', 'purchased item thinking label sweet potato large letter front bag actually sweet potato chip find eating finding taste terrible tortilla chip dusting sweet potato dust', 'purchased item thinking label sweet potato large letter front bag actually sweet potato chip find eating finding taste terrible tortilla chip dusting sweet potato dust']",Fried Potato Chips
117,29,117_salmon_tab_roe_pull,"['salmon', 'tab', 'roe', 'pull', 'russian', 'caviar', 'sushi', 'restaurant', 'shipped', 'alaska']","['item sold shipped nothing pictured mentioned jar first opened pull tab came right stranger pull tab feed cat can pull tab recommend going site picture accurate title site russian caviar since shipped usa notice title start alaskan salmon minor quib order consists can grained salmon caviar look smell nothing sushi restaurant roe lot egg crushed say around one get sushi restaurant intact little bubble might concentrate remember roe restaurant smelling olive olive label russian see made usa made march contradicts description week shelf life already expired possibly mean opened september received bit turned large difference ship made date order arrived day later expected fine however shipped inquired status shipper said sorry town pack tightly ice pack packed already melted time got opened package immediately upon receiving knowing perishable first time ordered salmon roe perhaps come however still inconsistency page need pointed', 'item sold shipped nothing pictured mentioned jar first opened pull tab came right stranger pull tab feed cat can pull tab recommend going site picture accurate title site russian caviar since shipped usa notice title start alaskan salmon minor quib order consists can grained salmon caviar look smell nothing sushi restaurant roe lot egg crushed say around one get sushi restaurant intact little bubble might concentrate remember roe restaurant smelling olive olive label russian see made usa made march contradicts description week shelf life already expired possibly mean opened september received bit turned large difference ship made date order arrived day later expected fine however shipped inquired status shipper said sorry town pack tightly ice pack packed already melted time got opened package immediately upon receiving knowing perishable first time ordered salmon roe perhaps come however still inconsistency page need pointed', 'item sold shipped nothing pictured mentioned jar first opened pull tab came right stranger pull tab feed cat can pull tab recommend going site picture accurate title site russian caviar since shipped usa notice title start alaskan salmon minor quib order consists can grained salmon caviar look smell nothing sushi restaurant roe lot egg crushed say around one get sushi restaurant intact little bubble might concentrate remember roe restaurant smelling olive olive label russian see made usa made march contradicts description week shelf life already expired possibly mean opened september received bit turned large difference ship made date order arrived day later expected fine however shipped inquired status shipper said sorry town pack tightly ice pack packed already melted time got opened package immediately upon receiving knowing perishable first time ordered salmon roe perhaps come however still inconsistency page need pointed']",Russian Caviar Shipment
118,28,118_larabars_bar_pie_larabar,"['larabars', 'bar', 'pie', 'larabar', 'pecan', 'jocalat', 'fermented', 'cashew', 'alcohol', 'orange']","['normally love larabars tried favor loved something really jocalat bar dried tried take bit bar crumbed box said jan tasted old dried plan gross sure bad box larabar company need redo bar flavor bad', 'normally love larabars tried favor loved something really jocalat bar dried tried take bit bar crumbed box said jan tasted old dried plan gross sure bad box larabar company need redo bar flavor bad', 'normally love larabars tried favor loved something really jocalat bar dried tried take bit bar crumbed box said jan tasted old dried plan gross sure bad box larabar company need redo bar flavor bad']",Larabar Flavor Variants
119,28,119_catnip_toy_spray_cat,"['catnip', 'toy', 'spray', 'cat', 'cosmic', 'impotent', 'smartykat', 'respond', 'waited', 'kitten']","['unfortunately two cat paid attention anything sprayed super catnip seem prefer dried catnip', 'owned cat foster another cat local humane society give reaction individual cat kong catnip spray cat respond positively anything catnip respond positively respond catnip much sprayed kong stuff couple favorite toy notice peculiar unpleasant odor held two toy cat sniff took one sniff bolted happened cat even normally reaction catnip waited couple day case scent strong got reaction really wish work well review read website', 'three cat none particularly interested catnip know bad batch cat usually love catnip threw rest']",Catnip Toys
120,28,120_yogurt_milk_soy_kefir,"['yogurt', 'milk', 'soy', 'kefir', 'picture', 'soymilk', 'starter', 'silk', 'temperature', 'malt']","['please update picture accurate info looking made yogurt despite picture show purina changed recipe hard find old formula made yogurt cat sensitive stomach thrown food tried besides type made yogurt recipe changed throwing daily excited see could buy yogurt version bulk till arrived wanted picture misleading considering disclaimer say ingredient may listed site picture thought would get saw', 'please update picture accurate info looking made yogurt despite picture show purina changed recipe hard find old formula made yogurt cat sensitive stomach thrown food tried besides type made yogurt recipe changed throwing daily excited see could buy yogurt version bulk till arrived wanted picture misleading considering disclaimer say ingredient may listed site picture thought would get saw', 'please update picture accurate info looking made yogurt despite picture show purina changed recipe hard find old formula made yogurt cat sensitive stomach thrown food tried besides type made yogurt recipe changed throwing daily excited see could buy yogurt version bulk till arrived wanted picture misleading considering disclaimer say ingredient may listed site picture thought would get saw']",Yogurt Varieties
121,28,121_chick_baby_recipe_gobble,"['chick', 'baby', 'recipe', 'gobble', 'chicken', 'salmon', 'happybaby', 'daughter', 'happy', 'plum']","['month old absolutely adored old recipe organic chicken sweet potato brown rice pasta would gobble entire pouch every time offered often ask unfortunately happy baby ruin thing reformulating new chick chick recipe consists organic chicken vegetable quinoa baby completely despises offered several time time make face spit turn away spoon see several recent review many parent baby feel way new recipe life figure happy baby would change formulation chick chick baby food perfectly fine delicious way definitely buying unless happy baby go back old formulation grade', 'month old absolutely adored old recipe organic chicken sweet potato brown rice pasta would gobble entire pouch every time offered often ask unfortunately happy baby ruin thing reformulating new chick chick recipe consists organic chicken vegetable quinoa baby completely despises offered several time time make face spit turn away spoon see several recent review many parent baby feel way new recipe life figure happy baby would change formulation chick chick baby food perfectly fine delicious way definitely buying unless happy baby go back old formulation grade', 'month old absolutely adored old recipe organic chicken sweet potato brown rice pasta would gobble entire pouch every time offered often ask unfortunately happy baby ruin thing reformulating new chick chick recipe consists organic chicken vegetable quinoa baby completely despises offered several time time make face spit turn away spoon see several recent review many parent baby feel way new recipe life figure happy baby would change formulation chick chick baby food perfectly fine delicious way definitely buying unless happy baby go back old formulation grade']",Baby Food Recipes
122,27,122_microwave_pop_popcorn_grease,"['microwave', 'pop', 'popcorn', 'grease', 'bag', 'bowl', 'evidently', 'cook', 'popped', 'popping']","['pop bowl sound great idea evidently rushed market bug first bag cooked fine except instruction opening bag far clear even figure lot trouble make big mess second bag evidently sprang leak sprayed bright orange grease inside microwave even tiny vent hole inside top side always watch popcorn carefully pop could see grease spray done opened door cleaning horrible ordeal sure everything cook microwave come smelling popcorn grease week released soon need serious redesign buy', 'pop bowl sound great idea evidently rushed market bug first bag cooked fine except instruction opening bag far clear even figure lot trouble make big mess second bag evidently sprang leak sprayed bright orange grease inside microwave even tiny vent hole inside top side always watch popcorn carefully pop could see grease spray done opened door cleaning horrible ordeal sure everything cook microwave come smelling popcorn grease week released soon need serious redesign buy', 'pop bowl sound great idea evidently rushed market bug first bag cooked fine except instruction opening bag far clear even figure lot trouble make big mess second bag evidently sprang leak sprayed bright orange grease inside microwave even tiny vent hole inside top side always watch popcorn carefully pop could see grease spray done opened door cleaning horrible ordeal sure everything cook microwave come smelling popcorn grease week released soon need serious redesign buy']",Popcorn Preparation
123,27,123_altoids_spearmint_peppermint_mint,"['altoids', 'spearmint', 'peppermint', 'mint', 'pepper', 'bleagh', 'pouch', 'doesnt', 'wintergreen', 'please']","['altoids please let send spearmint got ton stuff garden clearly running low whatever decided put new spearmint altoids certainly much eating', 'altoid wrigley company using deceptive advertising using old spearmint altoids advertising selling everyone new flavorful tasting spearmint altoids illegal wait called bait switch spearmint altoids great year recent purchase two pack left severally disapointed purchase spearmint altoids yellow banner across top say new great taste punch little spearmint flavor look taste original altoids hint spearmint flavor trickery', 'bought old spearmint altoids wonderful flavor new spearmint altoids terrible cannot tell difference new spearmint peppermint wintergreen mint altoids need investigate new spearmint come close tasting spearmint would better buying spearmint tic tack']",Mint Flavors
124,27,124_margarita_crystal_mojito_pitcher,"['margarita', 'crystal', 'mojito', 'pitcher', 'light', 'lime', 'mocktails', 'mix', 'tequila', 'drink']","['well green sort electric tree frog green opaque fact look lot bottled margarita mix pretty much taste taste low cal margarita mix probably enjoy mocktail mix prefer margarita little crisp lime bite give one pas tried mixed water served ice maybe try mixing ice blender lazy get blender quick drink always drink margarita rock also tried target calorie market pantry drink mix lime margarita transparent seems less disturbing somehow come recipe enhancer right box example add fresh lime juice even recipe full fledged margarita comparison found crystal light lacking artificial tasting less appealing color second batch added cup fresh lime juice thought helped way husband would drink dumped bunch grenadine also pitcher empty noticed left behind noticeable chalky white substance bottom pitcher finishing rest mix', 'tried crystal light mocktails mojito flavor loved decided try margarita flavor bad tasting everyone house tried made face upon tasting included taste margarita even taste dumped pitcher made', 'reading positive review hopeful mixer would way cut calorie margarita home actually one margarita three evening week treat difference calorie crystal light versus regular mixer thought worth shot mixed two quart exactly directed color come almost exactly regular margarita mix similarity end well speaking absolutely worst margarita life mixer terrible aftertaste point even want finish margarita opinion cannot compare regular margarita mix sooner cut three margarita week one save calorie ingredient container citric acid maltodextrin salt aspartame sweetener natural favor contains less acesulfame potassium sweetener magnesium oxide artificial color yellow blue gluten free couple day later gave one try see would okay drink without adding tequila also asked husband would interested trying took one look puce green color said reminded colyte know right tried straight taste similar case strong aftertaste much present finish glass either']",Cocktail Mixes
125,27,125_sleep_valerian_germ_chia,"['sleep', 'valerian', 'germ', 'chia', 'insomnia', 'sipped', 'wheat', 'show', 'earthy', 'seed']","['tea suggested show sleep better suffer insomnia bought wheat germ chia seed valerian tea said would help used wheat germ yet chia seed absolutely loving especially top crisp salad valerian tea taste horrible even force sip holding nose real earthy almost manure taste woman try show sipped said bad took chance swear must paid give tasty review vile already threw three box trash', 'tea suggested show sleep better suffer insomnia bought wheat germ chia seed valerian tea said would help used wheat germ yet chia seed absolutely loving especially top crisp salad valerian tea taste horrible even force sip holding nose real earthy almost manure taste woman try show sipped said bad took chance swear must paid give tasty review vile already threw three box trash', 'tea suggested show sleep better suffer insomnia bought wheat germ chia seed valerian tea said would help used wheat germ yet chia seed absolutely loving especially top crisp salad valerian tea taste horrible even force sip holding nose real earthy almost manure taste woman try show sipped said bad took chance swear must paid give tasty review vile already threw three box trash']",Sleep Aids
126,26,126_steak_samsclub_meat_omaha,"['steak', 'samsclub', 'meat', 'omaha', 'knife', 'comparing', 'moist', 'sirloin', 'tender', 'deliver']","['bought top sirloin hoping finally get steak home first one cooked could hardly cut steak knife second time tried tenderized quite time edible way still nothing better could bought local grocery store except packaging nothing say steak figure price per pound steak cut butter knife never buy', 'bought top sirloin hoping finally get steak home first one cooked could hardly cut steak knife second time tried tenderized quite time edible way still nothing better could bought local grocery store except packaging nothing say steak figure price per pound steak cut butter knife never buy', 'bought top sirloin hoping finally get steak home first one cooked could hardly cut steak knife second time tried tenderized quite time edible way still nothing better could bought local grocery store except packaging nothing say steak figure price per pound steak cut butter knife never buy']",Steak Comparison
